"","Finish ID","Remaining ID"
"143","","103-1678080175.2457_stereo_mono"
"144","","103-1678079149.2316_stereo_mono"
"145","","103-1678075892.1944_stereo_mono"
"146","","103-1678085800.3071_stereo_mono"
"147","","103-1678075950.1959_stereo_mono"
"148","","103-1678078195.2200_stereo_mono"
"149","","103-1678087706.3323_stereo_mono"
"150","","103-1678089864.3511_stereo_mono"
"151","","103-1678408312.131_stereo_mono"
"152","","103-1678406612.44_stereo_mono"
"153","","103-1678091546.3671_stereo_mono"
"154","","103-1678411511.457_stereo_mono"
"155","","103-1678414201.670_stereo_mono"
"156","","103-1678415451.852_stereo_mono"
"157","","103-1678428133.1838_stereo_mono"
"158","","103-1678427123.1629_stereo_mono"
"159","","103-1678431856.2153_stereo_mono"
"160","","103-1678421054.1065_stereo_mono"
"161","","103-1678434942.2499_stereo_mono"
"162","","103-1678437596.2711_stereo_mono"
"163","","103-1678241061.698_stereo_mono"
"164","","103-1678243338.1037_stereo_mono"
"165","","103-1678238742.504_stereo_mono"
"166","","103-1678239048.558_stereo_mono"
"167","","103-1678234417.136_stereo_mono"
"168","","103-1678241257.721_stereo_mono"
"169","","103-1678253740.1624_stereo_mono"
"170","","103-1678255173.1742_stereo_mono"
"171","","103-1678262770.2430_stereo_mono"
"172","","103-1678263377.2479_stereo_mono"
"173","","103-1678255226.1755_stereo_mono"
"174","","103-1678257058.1939_stereo_mono"
"175","","103-1678259603.2138_stereo_mono"
"176","","103-1678261726.2319_stereo_mono"
"177","","103-1678839479.91_stereo_mono"
"178","","103-1678842013.224_stereo_mono"
"179","","103-1678844440.423_stereo_mono"
"180","","103-1678853523.1189_stereo_mono"
"181","","103-1678855021.1355_stereo_mono"
"182","","103-1678860887.1933_stereo_mono"
"183","","103-1678847098.798_stereo_mono"
"184","","103-1678860202.1852_stereo_mono"
"185","","103-1678861735.2034_stereo_mono"
"186","","103-1678848065.904_stereo_mono"
"187","","103-1678867988.2534_stereo_mono"
"188","","103-1678866233.2400_stereo_mono"
"189","","103-1678857011.1560_stereo_mono"
"190","","103-1678859439.1770_stereo_mono"
"191","","103-1678320776.109_stereo_mono"
"192","","103-1678323335.280_stereo_mono"
"193","","103-1678325357.451_stereo_mono"
"194","","103-1678327574.598_stereo_mono"
"195","","103-1678328817.791_stereo_mono"
